#   gal ID      M*           (g-r)       SFR
     455    3.1799e+08     0.7623    1.0000e-05
     456    8.0316e+07     0.6615    1.0000e-05
     459    6.7564e+07     0.6772    1.0000e-05
     461    1.1438e+08     0.7013    1.0000e-05
     463    1.2366e+08     0.6875    1.0000e-05
     464    3.3722e+07     0.6420    1.0000e-05
     467    5.1849e+07     0.6406    1.0000e-05
     473    5.2588e+07     0.6754    1.0000e-05
     483    3.5676e+07     0.6608    1.0000e-05
     485    1.6110e+08     0.7019    1.0000e-05
     486    3.5597e+08     0.7761    1.0000e-05
     487    6.8479e+07     0.6621    1.0000e-05
     490    7.1136e+07     0.6678    1.0000e-05
     491    1.0332e+08     0.6853    1.0000e-05
     492    8.6514e+07     0.6963    1.0000e-05
     493    3.4458e+07     0.6607    1.0000e-05
     495    4.0261e+07     0.6413    1.0000e-05
     500    2.1367e+08     0.7315    1.0000e-05
     506    1.1418e+08     0.6885    1.0000e-05
     507    9.5105e+07     0.6941    1.0000e-05
     508    3.6774e+07     0.6303    1.0000e-05
     513    1.9669e+08     0.7136    1.0000e-05
     514    6.3507e+07     0.6766    1.0000e-05
     515    3.4068e+07     0.6763    1.0000e-05
     517    1.0885e+08     0.6571    1.0000e-05
     518    1.5647e+08     0.7186    1.0000e-05
     519    1.9326e+08     0.7284    1.0000e-05
     521    1.0064e+08     0.6901    1.0000e-05
     523    8.5056e+07     0.6694    1.0000e-05
     525    3.0864e+07     0.6551    1.0000e-05
     531    5.4420e+07     0.6679    1.0000e-05
     532    2.6018e+07     0.6562    1.0000e-05
     534    2.3898e+08     0.7640    1.0000e-05
     538    1.5501e+08     0.7279    1.0000e-05
     540    1.4043e+08     0.7249    1.0000e-05
     542    3.2565e+07     0.6531    1.0000e-05
     545    3.5229e+07     0.6577    1.0000e-05
     548    3.6116e+08     0.8417    1.0000e-05
     550    2.5130e+08     0.7048    1.0000e-05
     560    6.3493e+07     0.6777    1.0000e-05
     566    5.8629e+07     0.6575    1.0000e-05
     567    5.3109e+07     0.6711    1.0000e-05
     568    5.8292e+07     0.6859    1.0000e-05
     569    4.8281e+07     0.6685    1.0000e-05
     570    2.9090e+08     0.7972    1.0000e-05
     579    1.2289e+08     0.6934    1.0000e-05
     588    3.4922e+07     0.6637    1.0000e-05
     590    3.3794e+07     0.6541    1.0000e-05
     594    3.4197e+07     0.6631    1.0000e-05
     595    1.4336e+08     0.6980    1.0000e-05
     601    7.6915e+07     0.6917    1.0000e-05
     602    2.8344e+07     0.6266    1.0000e-05
     619    6.6235e+07     0.6634    1.0000e-05
     622    8.8309e+07     0.6980    1.0000e-05
     624    3.5456e+07     0.6626    1.0000e-05
     633    3.1004e+07     0.6375    1.0000e-05
     642    1.4148e+08     0.7246    1.0000e-05
     645    3.6038e+07     0.6454    1.0000e-05
     650    1.2873e+08     0.7196    1.0000e-05
     652    1.0369e+08     0.6846    1.0000e-05
     653    3.0402e+07     0.6583    1.0000e-05
     656    5.4786e+07     0.6816    1.0000e-05
     659    6.5492e+07     0.6751    1.0000e-05
     660    2.8381e+07     0.6253    1.0000e-05
     662    8.4849e+07     0.6952    1.0000e-05
     663    4.5910e+07     0.6603    1.0000e-05
     673    5.8498e+07     0.6933    1.0000e-05
     675    7.2654e+07     0.6803    1.0000e-05
     686    3.1046e+07     0.6699    1.0000e-05
     687    3.4049e+07     0.6512    1.0000e-05
     696    1.2813e+08     0.7342    1.0000e-05
     698    2.9200e+07     0.6661    1.0000e-05
     701    1.0113e+08     0.7236    1.0000e-05
     703    3.9365e+07     0.6753    1.0000e-05
     713    6.7182e+07     0.6881    1.0000e-05
     714    8.2148e+07     0.6813    1.0000e-05
     716    1.9457e+08     0.7790    1.0000e-05
     721    8.8729e+07     0.6891    1.0000e-05
     749    1.8680e+08     0.7898    1.0000e-05
     751    3.5167e+07     0.6372    1.0000e-05
     753    1.0149e+08     0.7175    1.0000e-05
     755    1.9040e+08     0.7846    1.0000e-05
     760    2.1032e+08     0.8039    1.0000e-05
     764    4.8567e+07     0.6835    1.0000e-05
     779    6.9708e+07     0.7007    1.0000e-05
