#     M*           rh* 
   4.0599e+07     1.3779
   8.7400e+07     0.6682
   4.4202e+07     2.1903
   3.0578e+07     1.7386
   2.9755e+07     1.3978
   4.4303e+07     1.5787
   7.3365e+07     0.6533
   3.3170e+07     1.3866
   6.0939e+07     1.1687
   2.5753e+07     1.6225
   4.5981e+07     1.0790
   8.4338e+07     0.5566
   2.8196e+07     1.3414
   3.8733e+07     1.2248
   2.8711e+07     2.4685
   2.8606e+07     1.8503
   5.9757e+07     0.9338
   4.5690e+07     1.4864
   4.6536e+07     1.3600
   3.1464e+07     1.4987
   2.9305e+07     1.3165
   6.6288e+07     0.7683
   4.6024e+07     0.9120
   4.3838e+07     0.8724
   2.5809e+07     1.6552
   3.5355e+07     1.1606
   3.6146e+07     1.3910
   3.0694e+07     1.4009
   2.5820e+07     2.1303
   2.7368e+07     1.6019
   3.0667e+07     1.4627
   4.4396e+07     0.8165
   5.1821e+07     0.6146
   2.8791e+07     1.3408
   2.9394e+07     1.0936
   3.3541e+07     1.5469
   2.8459e+07     1.1766
   3.1855e+07     1.1187
   2.9396e+07     1.1835
   2.8526e+07     1.3315
   3.6898e+07     0.6459
   2.5537e+07     1.2822
   3.2322e+07     0.5736
   5.0562e+08     1.7019
   8.3308e+08     1.8673
   1.2276e+09     1.6261
   4.9905e+08     1.0794
   2.3782e+08     1.2553
   3.5962e+08     1.1572
   3.6535e+08     0.8963
   6.6507e+08     0.3582
   1.1941e+09     1.8252
   5.9893e+08     1.1336
   1.1682e+09     3.0396
   8.5888e+08     2.8600
   8.3640e+08     1.1900
   7.8508e+08     1.3721
   5.3832e+08     2.6657
   6.2305e+08     1.4593
   7.1939e+08     1.5775
   6.8475e+08     2.0771
   8.2946e+07     0.5646
   4.1498e+08     2.4643
   9.4774e+07     0.8368
   2.6286e+08     0.3776
   4.5232e+08     1.8047
   1.0860e+08     0.5729
   2.0454e+08     1.2984
   2.0740e+08     0.7351
   2.1262e+08     0.9141
   5.9687e+08     0.4234
   4.2141e+08     1.8742
   1.2628e+08     1.0852
   4.1608e+08     1.1603
   5.8858e+08     1.4731
   4.2625e+08     1.5029
   1.9142e+08     1.3043
   8.5634e+08     2.6930
   1.3930e+08     1.1445
   2.2977e+08     0.6677
   1.6065e+08     2.8823
   3.1797e+07     1.0786
   1.2194e+09     0.9436
   1.2216e+08     1.5407
   6.7382e+07     0.6449
   2.4526e+08     1.6338
   1.6696e+08     1.3660
   1.9148e+08     1.2777
   1.1528e+09     1.1725
   3.4666e+07     0.9351
   1.4524e+08     1.8578
   5.2263e+08     1.1280
   1.8184e+08     1.0725
   3.9824e+08     1.7069
   4.8607e+07     1.1541
   1.9955e+08     3.2914
   1.2557e+08     0.5432
   7.4037e+08     2.1207
   3.5137e+08     2.7206
   1.0644e+08     1.2299
   1.0530e+09     0.8197
   8.2844e+07     0.7761
   4.8760e+08     1.2907
   1.5405e+08     0.7931
   2.7227e+07     1.0839
   1.5060e+08     1.3827
   1.5462e+08     1.3125
   2.7451e+07     1.1798
   1.1642e+09     0.4297
   5.5979e+08     2.2357
   8.6893e+07     0.7630
   5.3758e+08     1.7367
   7.6802e+08     1.2014
   2.5408e+08     1.4793
   1.5880e+08     1.2737
   2.5177e+08     1.8904
   5.1668e+07     1.0307
   6.2465e+07     1.3802
   2.8284e+08     1.1760
   3.9002e+07     1.1297
   1.7764e+08     0.3593
   9.4134e+07     1.6468
   4.8176e+07     0.9596
   2.8528e+07     1.2728
   3.3879e+07     1.6626
   4.5865e+07     1.8134
   4.3327e+08     2.2967
   5.0360e+08     1.6323
   6.8414e+07     1.4105
   1.2049e+08     1.4090
   6.5341e+08     0.9204
   6.1556e+07     2.0229
   2.7768e+07     1.5981
   5.1568e+07     1.0294
   2.8883e+07     1.0774
   5.9741e+08     1.3231
   6.0605e+07     1.4110
   3.0083e+08     1.6468
   9.3759e+07     1.3339
   2.7425e+07     2.3685
   1.0268e+08     1.8294
   4.0178e+08     1.7063
   5.1262e+07     1.6203
   3.2878e+07     0.9331
   3.3960e+07     1.3114
   1.2363e+08     1.4732
   3.9691e+08     1.2312
   4.5306e+07     1.5939
   4.3199e+07     1.1724
   1.2873e+08     1.1430
   3.5020e+07     1.5061
   2.0886e+08     1.8486
   2.2891e+08     2.3691
   2.0394e+08     1.5681
   2.7412e+07     1.2359
   4.0485e+07     1.5911
   6.2432e+07     1.9979
   9.1329e+07     1.5827
   5.6115e+07     1.2394
   5.9955e+07     1.9355
   1.5306e+08     1.4045
   4.9898e+08     0.6872
   5.0310e+07     0.8659
   3.1226e+07     2.1114
   6.8759e+07     1.9123
   3.9013e+07     1.1021
   1.1484e+08     1.7769
   3.6641e+07     1.6616
   7.3919e+07     1.5686
   1.6815e+08     2.7136
   9.6675e+07     1.9771
   4.4139e+07     1.0682
   6.9307e+07     0.6658
   7.6450e+07     1.6782
   6.3004e+07     1.6006
   8.9430e+07     2.0283
   4.9491e+07     1.6437
   5.9455e+07     1.7367
   2.7632e+08     1.1404
   2.7682e+07     1.3621
   2.5566e+07     1.2662
   2.6579e+07     1.2241
   3.4749e+08     0.7344
   6.8309e+07     1.5417
   1.3933e+08     1.4299
   1.0502e+08     2.5776
   7.2230e+07     1.7516
   2.9038e+08     1.0701
