#   gal ID      M*           rh* 
     782    5.9189e+07     2.1890
     784    4.8469e+07     1.6017
     797    3.3186e+07     1.2956
     806    4.7101e+07     2.1634
     810    1.2834e+08     1.0897
     812    2.9590e+07     1.4667
     822    2.6050e+07     1.6257
     823    2.5377e+07     1.8494
     830    1.0493e+08     1.2300
     834    9.3370e+07     2.2594
     837    9.8233e+07     1.4649
     838    6.9452e+07     2.1164
     841    8.3381e+07     1.3098
     853    5.2418e+07     1.7254
     858    3.8120e+07     1.8582
     871    2.7519e+07     1.2892
     919    3.5445e+07     1.9630
     942    7.2254e+07     1.3042
     943    3.5586e+07     1.5585
     951    4.9484e+07     1.8248
     955    2.6054e+07     1.6548
     958    3.3427e+07     1.5447
     959    3.1089e+07     1.7884
     964    5.8730e+07     1.6227
     972    2.5197e+07     1.4286
     973    5.2417e+07     1.6780
     974    3.7206e+07     1.8660
     984    4.5278e+07     1.6623
     989    3.3077e+07     1.4021
    1015    3.5904e+07     1.9633
    1054    1.0852e+08     1.2340
    1063    3.0006e+07     2.1987
    1090    4.5416e+07     1.5973
    1107    3.0031e+07     2.1121
    1111    3.4255e+07     1.4651
    1115    5.1201e+07     1.6771
    1123    1.4363e+08     0.4667
    1139    8.6542e+07     1.1671
    1142    3.6078e+07     1.7564
    1145    3.2183e+07     1.7328
    1162    4.4753e+07     1.4156
    1172    7.9202e+07     1.5645
    1176    3.1878e+07     1.6019
    1185    3.0985e+07     2.0118
    1200    8.3458e+07     1.3858
    1201    3.3419e+07     1.5900
    1226    7.9399e+07     1.9340
    1227    5.1113e+07     1.6462
    1231    3.1795e+07     1.3774
    1243    2.7717e+07     1.5392
    1246    4.1809e+07     1.3457
    1257    7.3766e+07     1.3512
    1272    1.1619e+08     0.5606
    1284    3.6613e+07     1.6353
    1295    5.7885e+07     1.0846
    1300    3.4411e+07     1.6777
    1306    3.4015e+07     1.8406
    1309    5.1716e+07     1.6904
    1312    3.1027e+07     2.0818
    1316    5.6416e+07     1.3207
    1323    8.4025e+07     0.9269
    1340    2.6047e+07     1.2005
    1393    7.6648e+07     1.0455
    1422    5.2921e+07     1.6412
    1431    9.6178e+07     0.4934
    1459    4.2265e+07     2.0324
    1477    4.0599e+07     1.3779
    1503    8.7400e+07     0.6682
    1533    4.4202e+07     2.1903
    1540    3.0578e+07     1.7386
    1550    2.9755e+07     1.3978
    1565    4.4303e+07     1.5787
    1568    7.3365e+07     0.6533
    1569    3.3170e+07     1.3866
    1577    6.0939e+07     1.1687
    1631    2.5753e+07     1.6225
    1638    4.5981e+07     1.0790
    1653    8.4338e+07     0.5566
    1655    2.8196e+07     1.3414
    1663    3.8733e+07     1.2248
    1691    2.8711e+07     2.4685
    1693    2.8606e+07     1.8503
    1721    5.9757e+07     0.9338
    1815    4.5690e+07     1.4864
    1853    4.6536e+07     1.3600
    1856    3.1464e+07     1.4987
    1934    2.9305e+07     1.3165
    1936    6.6288e+07     0.7683
    2004    4.6024e+07     0.9120
    2140    4.3838e+07     0.8724
    2185    2.5809e+07     1.6552
    2203    3.5355e+07     1.1606
    2235    3.6146e+07     1.3910
    2238    3.0694e+07     1.4009
    2265    2.5820e+07     2.1303
    2299    2.7368e+07     1.6019
    2325    3.0667e+07     1.4627
    2378    4.4396e+07     0.8165
    2400    5.1821e+07     0.6146
    2436    2.8791e+07     1.3408
    2571    2.9394e+07     1.0936
    2630    3.3541e+07     1.5469
    2763    2.8459e+07     1.1766
    2848    3.1855e+07     1.1187
    2868    2.9396e+07     1.1835
    2874    2.8526e+07     1.3315
    2933    3.6898e+07     0.6459
    2940    2.5537e+07     1.2822
    3353    3.2322e+07     0.5736
   63890    5.0562e+08     1.7019
   63892    8.3308e+08     1.8673
   63906    1.2276e+09     1.6261
   63908    4.9905e+08     1.0794
   63909    2.3782e+08     1.2553
   63915    3.5962e+08     1.1572
   63922    3.6535e+08     0.8963
   63923    6.6507e+08     0.3582
   63924    1.1941e+09     1.8252
   63932    5.9893e+08     1.1336
   63933    1.1682e+09     3.0396
   63934    8.5888e+08     2.8600
   63935    8.3640e+08     1.1900
   63937    7.8508e+08     1.3721
   63938    5.3832e+08     2.6657
   63939    6.2305e+08     1.4593
   63941    7.1939e+08     1.5775
   63942    6.8475e+08     2.0771
   63946    8.2946e+07     0.5646
   63949    4.1498e+08     2.4643
   63952    9.4774e+07     0.8368
   63953    2.6286e+08     0.3776
   63954    4.5232e+08     1.8047
   63955    1.0860e+08     0.5729
   63956    2.0454e+08     1.2984
   63958    2.0740e+08     0.7351
   63959    2.1262e+08     0.9141
   63960    5.9687e+08     0.4234
   63962    4.2141e+08     1.8742
   63963    1.2628e+08     1.0852
   63964    4.1608e+08     1.1603
   63965    5.8858e+08     1.4731
   63966    4.2625e+08     1.5029
   63967    1.9142e+08     1.3043
   63968    8.5634e+08     2.6930
   63969    1.3930e+08     1.1445
   63970    2.2977e+08     0.6677
   63971    1.6065e+08     2.8823
   63972    3.1797e+07     1.0786
   63973    1.2194e+09     0.9436
   63974    1.2216e+08     1.5407
   63975    6.7382e+07     0.6449
   63976    2.4526e+08     1.6338
   63977    1.6696e+08     1.3660
   63978    1.9148e+08     1.2777
   63979    1.1528e+09     1.1725
   63980    3.4666e+07     0.9351
   63981    1.4524e+08     1.8578
   63982    5.2263e+08     1.1280
   63983    1.8184e+08     1.0725
   63984    3.9824e+08     1.7069
   63985    4.8607e+07     1.1541
   63986    1.9955e+08     3.2914
   63987    1.2557e+08     0.5432
   63989    7.4037e+08     2.1207
   63991    3.5137e+08     2.7206
   63992    1.0644e+08     1.2299
   63993    1.0530e+09     0.8197
   63994    8.2844e+07     0.7761
   63995    4.8760e+08     1.2907
   63996    1.5405e+08     0.7931
   63997    2.7227e+07     1.0839
   63998    1.5060e+08     1.3827
   63999    1.5462e+08     1.3125
   64000    2.7451e+07     1.1798
   64002    1.1642e+09     0.4297
   64004    5.5979e+08     2.2357
   64005    8.6893e+07     0.7630
   64006    5.3758e+08     1.7367
   64007    7.6802e+08     1.2014
   64009    2.5408e+08     1.4793
   64010    1.5880e+08     1.2737
   64011    2.5177e+08     1.8904
   64012    5.1668e+07     1.0307
   64013    6.2465e+07     1.3802
   64014    2.8284e+08     1.1760
   64015    3.9002e+07     1.1297
   64017    1.7764e+08     0.3593
   64019    9.4134e+07     1.6468
   64020    4.8176e+07     0.9596
   64021    2.8528e+07     1.2728
   64023    3.3879e+07     1.6626
   64024    4.5865e+07     1.8134
   64025    4.3327e+08     2.2967
   64026    5.0360e+08     1.6323
   64027    6.8414e+07     1.4105
   64028    1.2049e+08     1.4090
   64029    6.5341e+08     0.9204
   64032    6.1556e+07     2.0229
   64033    2.7768e+07     1.5981
   64036    5.1568e+07     1.0294
   64037    2.8883e+07     1.0774
   64038    5.9741e+08     1.3231
   64040    6.0605e+07     1.4110
   64041    3.0083e+08     1.6468
   64042    9.3759e+07     1.3339
   64043    2.7425e+07     2.3685
   64044    1.0268e+08     1.8294
   64046    4.0178e+08     1.7063
   64047    5.1262e+07     1.6203
   64051    3.2878e+07     0.9331
   64054    3.3960e+07     1.3114
   64057    1.2363e+08     1.4732
   64058    3.9691e+08     1.2312
   64059    4.5306e+07     1.5939
   64060    4.3199e+07     1.1724
   64062    1.2873e+08     1.1430
   64064    3.5020e+07     1.5061
   64066    2.0886e+08     1.8486
   64067    2.2891e+08     2.3691
   64068    2.0394e+08     1.5681
   64069    2.7412e+07     1.2359
   64070    4.0485e+07     1.5911
   64074    6.2432e+07     1.9979
   64075    9.1329e+07     1.5827
   64078    5.6115e+07     1.2394
   64079    5.9955e+07     1.9355
   64080    1.5306e+08     1.4045
   64081    4.9898e+08     0.6872
   64085    5.0310e+07     0.8659
   64087    3.1226e+07     2.1114
   64088    6.8759e+07     1.9123
   64089    3.9013e+07     1.1021
